Block,Type,Condition_label,Group,Sentences,Prosody,Subject,Clitic_gender,Direct_object_gender,Indirect_object_gender,Num_inter_elements,Audio_files_numbering,File_prefix_of_all_audio_files,All_audio_files_original_name,Path_of_audio_files_final_name
BlockTarget_1,Target,A1,A, Сите режисери и поднесоа по еден филм на комисијата.,Standard,Режисери,и,филм_М,комисија_ж,0,STE-001,Targets,target_STE-001_mono.wav,Targets/mono/target_STE-001_mono.wav
BlockTarget_1,Target,B2,B, Режисерите сите и поднесоа по еден филм на комисијата.,Rising + Comma < CL V,Режисери,и,филм_М,комисија_ж,1,STE-002,Targets,target_STE-002_mono.wav,Targets/mono/target_STE-002_mono.wav
BlockTarget_1,Target,C3,C, Режисерите и поднесоа сите по еден филм на комисијата.,Rising + Comma < DO,Режисери,и,филм_М,комисија_ж,2,STE-003,Targets,target_STE-003_mono.wav,Targets/mono/target_STE-003_mono.wav
BlockTarget_1,Target,D4,D, Режисерите и поднесоа по еден филм сите на комисијата.,Rising + Comma < IO,Режисери,и,филм_М,комисија_ж,3,STE-004,Targets,target_STE-004_mono.wav,Targets/mono/target_STE-004_mono.wav
BlockTarget_1,Target,E5,E, Режисерите и поднесоа по еден филм на комисијата сите.,Comma > Post S,Режисери,и,филм_М,комисија_ж,4,STE-005,Targets,target_STE-005_mono.wav,Targets/mono/target_STE-005_mono.wav
BlockTarget_2,Target,A1,B, Сите уметници и пратија по едно дело на галеријата.,Standard,Уметници,и,дело_с,галерија_ж,0,STE-006,Targets,target_STE-006_mono.wav,Targets/mono/target_STE-006_mono.wav
BlockTarget_2,Target,B2,C, Уметниците сите и пратија по едно дело на галеријата.,Rising + Comma < CL V,Уметници,и,дело_с,галерија_ж,1,STE-007,Targets,target_STE-007_mono.wav,Targets/mono/target_STE-007_mono.wav
BlockTarget_2,Target,C3,D, Уметниците и пратија сите по едно дело на галеријата.,Rising + Comma < DO,Уметници,и,дело_с,галерија_ж,2,STE-008,Targets,target_STE-008_mono.wav,Targets/mono/target_STE-008_mono.wav
BlockTarget_2,Target,D4,E, Уметниците и пратија по едно дело сите на галеријата.,Rising + Comma < IO,Уметници,и,дело_с,галерија_ж,3,STE-009,Targets,target_STE-009_mono.wav,Targets/mono/target_STE-009_mono.wav
BlockTarget_2,Target,E5,A, Уметниците и пратија по едно дело на галеријата сите.,Comma > Post S,Уметници,и,дело_с,галерија_ж,4,STE-010,Targets,target_STE-010_mono.wav,Targets/mono/target_STE-010_mono.wav
BlockTarget_3,Target,A1,C, Сите сликари му подарија по една слика на музејот.,Standard,Сликари,му,слика_ж,музеј_м,0,STE-011,Targets,target_STE-011_mono.wav,Targets/mono/target_STE-011_mono.wav
BlockTarget_3,Target,B2,D, Сликарите сите му подарија по една слика на музејот.,Rising + Comma < CL V,Сликари,му,слика_ж,музеј_м,1,STE-012,Targets,target_STE-012_mono.wav,Targets/mono/target_STE-012_mono.wav
BlockTarget_3,Target,C3,E, Сликарите му подарија сите по една слика на музејот.,Rising + Comma < DO,Сликари,му,слика_ж,музеј_м,2,STE-013,Targets,target_STE-013_mono.wav,Targets/mono/target_STE-013_mono.wav
BlockTarget_3,Target,D4,A, Сликарите му подарија по една слика сите на музејот.,Rising + Comma < IO,Сликари,му,слика_ж,музеј_м,3,STE-014,Targets,target_STE-014_mono.wav,Targets/mono/target_STE-014_mono.wav
BlockTarget_3,Target,E5,B, Сликарите му подарија по една слика на музејот сите.,Comma > Post S,Сликари,му,слика_ж,музеј_м,4,STE-015,Targets,target_STE-015_mono.wav,Targets/mono/target_STE-015_mono.wav
BlockTarget_4,Target,A1,D, Сите работници му дадоа по една лозинка на раководителот.,Standard,Работници,му,лозинка_ж,раководител_м,0,STE-016,Targets,target_STE-016_mono.wav,Targets/mono/target_STE-016_mono.wav
BlockTarget_4,Target,B2,E, Работниците сите му дадоа по една лозинка на раководителот.,Rising + Comma < CL V,Работници,му,лозинка_ж,раководител_м,1,STE-017,Targets,target_STE-017_mono.wav,Targets/mono/target_STE-017_mono.wav
BlockTarget_4,Target,C3,A, Работниците му дадоа сите по една лозинка на раководителот.,Rising + Comma < DO,Работници,му,лозинка_ж,раководител_м,2,STE-018,Targets,target_STE-018_mono.wav,Targets/mono/target_STE-018_mono.wav
BlockTarget_4,Target,D4,B, Работниците му дадоа по една лозинка сите на раководителот.,Rising + Comma < IO,Работници,му,лозинка_ж,раководител_м,3,STE-019,Targets,target_STE-019_mono.wav,Targets/mono/target_STE-019_mono.wav
BlockTarget_4,Target,E5,C, Работниците му дадоа по една лозинка на раководителот сите.,Comma > Post S,Работници,му,лозинка_ж,раководител_м,4,STE-020,Targets,target_STE-020_mono.wav,Targets/mono/target_STE-020_mono.wav
BlockTarget_5,Target,A1,E, Сите писатели и испратија по една книга на агенцијата.,Standard,Писатели,и,книга_ж,агенција_ж,0,STE-021,Targets,target_STE-021_mono.wav,Targets/mono/target_STE-021_mono.wav
BlockTarget_5,Target,B2,A, Писателите сите и испратија по една книга на агенцијата.,Rising + Comma < CL V,Писатели,и,книга_ж,агенција_ж,1,STE-022,Targets,target_STE-022_mono.wav,Targets/mono/target_STE-022_mono.wav
BlockTarget_5,Target,C3,B, Писателите и испратија сите по една книга на агенцијата.,Rising + Comma < DO,Писатели,и,книга_ж,агенција_ж,2,STE-023,Targets,target_STE-023_mono.wav,Targets/mono/target_STE-023_mono.wav
BlockTarget_5,Target,D4,C, Писателите и испратија по една книга сите на агенцијата.,Rising + Comma < IO,Писатели,и,книга_ж,агенција_ж,3,STE-024,Targets,target_STE-024_mono.wav,Targets/mono/target_STE-024_mono.wav
BlockTarget_5,Target,E5,D, Писателите и испратија по една книга на агенцијата сите.,Comma > Post S,Писатели,и,книга_ж,агенција_ж,4,STE-025,Targets,target_STE-025_mono.wav,Targets/mono/target_STE-025_mono.wav
BlockTarget_6,Target,A1,A, Сите студенти му ветија по еден есеј на професорот.,Standard,Студенти,му,есеј_м,професор_м,0,STE-026,Targets,target_STE-026_mono.wav,Targets/mono/target_STE-026_mono.wav
BlockTarget_6,Target,B2,B, Студентите сите му ветија по еден есеј на професорот.,Rising + Comma < CL V,Студенти,му,есеј_м,професор_м,1,STE-027,Targets,target_STE-027_mono.wav,Targets/mono/target_STE-027_mono.wav
BlockTarget_6,Target,C3,C, Студентите му ветија сите по еден есеј на професорот.,Rising + Comma < DO,Студенти,му,есеј_м,професор_м,2,STE-028,Targets,target_STE-028_mono.wav,Targets/mono/target_STE-028_mono.wav
BlockTarget_6,Target,D4,D, Студентите му ветија по еден есеј сите на професорот.,Rising + Comma < IO,Студенти,му,есеј_м,професор_м,3,STE-029,Targets,target_STE-029_mono.wav,Targets/mono/target_STE-029_mono.wav
BlockTarget_6,Target,E5,E, Студентите му ветија по еден есеј на професорот сите.,Comma > Post S,Студенти,му,есеј_м,професор_м,4,STE-030,Targets,target_STE-030_mono.wav,Targets/mono/target_STE-030_mono.wav
